iter	Passed	Remaining
0	113	113351
1	116	58244
2	121	40246
3	123	30644
4	126	25166
5	129	21397
6	133	18897
7	135	16785
8	137	15150
9	140	13862
10	142	12809
11	144	11889
12	147	11170
13	150	10583
14	154	10170
15	159	9783
16	161	9358
17	163	8929
18	165	8543
19	168	8255
20	170	7936
21	172	7658
22	174	7408
23	176	7166
24	177	6940
25	179	6742
26	182	6590
27	184	6417
28	186	6253
29	188	6110
30	190	5963
31	193	5839
32	194	5706
33	197	5601
34	198	5477
35	200	5364
36	201	5255
37	203	5160
38	205	5061
39	206	4967
40	208	4878
41	210	4795
42	211	4711
43	213	4631
44	214	4553
45	216	4490
46	218	4421
47	219	4352
48	220	4288
49	222	4230
50	224	4170
51	225	4112
52	226	4055
53	228	4000
54	229	3949
55	231	3900
56	232	3852
57	234	3803
58	235	3758
59	237	3727
60	239	3686
61	240	3644
62	242	3603
63	243	3565
64	247	3561
65	249	3525
66	250	3490
67	252	3465
68	255	3449
69	257	3422
70	259	3390
71	261	3365
72	262	3338
73	264	3307
74	265	3279
75	268	3263
76	269	3234
77	271	3206
78	272	3177
79	273	3148
80	275	3126
81	277	3101
82	277	3070
83	279	3050
84	281	3027
85	283	3009
86	284	2988
87	286	2966
88	288	2949
89	289	2932
90	291	2912
91	293	2894
92	295	2884
93	297	2868
94	299	2854
95	301	2837
96	302	2818
97	304	2803
98	306	2786
99	307	2769
100	309	2753
101	311	2739
102	312	2724
103	314	2708
104	315	2691
105	317	2675
106	318	2661
107	320	2646
108	321	2632
109	323	2619
110	325	2604
111	327	2594
112	328	2580
113	330	2567
114	331	2554
115	333	2543
116	335	2531
117	337	2521
118	339	2510
119	341	2506
120	345	2512
121	347	2498
122	349	2490
123	351	2480
124	352	2468
125	354	2458
126	357	2455
127	359	2445
128	361	2437
129	362	2426
130	364	2420
131	366	2412
132	368	2404
133	370	2395
134	372	2387
135	374	2378
136	376	2370
137	378	2364
138	380	2355
139	382	2347
140	384	2339
141	385	2327
142	387	2319
143	388	2312
144	390	2303
145	392	2295
146	394	2288
147	396	2282
148	398	2274
149	400	2267
150	402	2260
151	404	2254
152	405	2247
153	407	2241
154	409	2234
155	411	2227
156	413	2220
157	415	2216
158	417	2209
159	419	2202
160	420	2193
161	422	2187
162	424	2180
163	426	2173
164	428	2169
165	431	2170
166	434	2165
167	436	2160
168	442	2175
169	444	2168
170	446	2165
171	448	2159
172	450	2152
173	452	2146
174	454	2141
175	456	2135
176	458	2132
177	460	2127
178	465	2133
179	468	2133
180	470	2127
181	471	2120
182	473	2113
183	475	2108
184	477	2103
185	479	2096
186	480	2090
187	483	2086
188	485	2081
189	486	2075
190	488	2070
191	490	2065
192	492	2060
193	494	2054
194	496	2048
195	498	2044
196	500	2040
197	502	2034
198	504	2029
199	506	2025
200	508	2020
201	509	2014
202	511	2009
203	513	2005
204	515	2000
205	517	1996
206	520	1992
207	521	1987
208	523	1982
209	525	1977
210	528	1975
211	530	1971
212	532	1965
213	533	1960
214	535	1955
215	537	1950
216	538	1944
217	540	1938
218	542	1934
219	544	1928
220	545	1923
221	547	1917
222	549	1914
223	551	1909
224	553	1904
225	554	1899
226	556	1896
227	558	1891
228	560	1885
229	561	1880
230	563	1874
231	564	1869
232	566	1865
233	568	1860
234	570	1855
235	571	1851
236	573	1846
237	575	1841
238	576	1836
239	578	1833
240	580	1828
241	582	1823
242	583	1818
243	586	1816
244	587	1811
245	589	1807
246	591	1802
247	593	1799
248	595	1796
249	597	1791
250	599	1787
251	605	1796
252	607	1792
253	609	1790
254	611	1786
255	614	1786
256	618	1786
257	620	1783
258	622	1780
259	627	1787
260	633	1794
261	636	1792
262	643	1802
263	646	1802
264	648	1799
265	651	1796
266	658	1807
267	665	1817
268	669	1818
269	671	1815
270	673	1812
271	676	1811
272	679	1809
273	681	1805
274	683	1802
275	686	1799
276	688	1795
277	689	1791
278	692	1790
279	704	1810
280	707	1809
281	709	1806
282	712	1803
283	714	1800
284	716	1797
285	718	1794
286	720	1791
287	723	1789
288	726	1787
289	729	1784
290	731	1781
291	733	1777
292	735	1774
293	737	1771
294	740	1769
295	742	1767
296	745	1763
297	747	1759
298	749	1756
299	751	1752
300	752	1748
301	754	1744
302	756	1740
303	758	1737
304	760	1733
305	762	1730
306	764	1726
307	766	1723
308	768	1718
309	770	1714
310	772	1710
311	774	1706
312	775	1703
313	777	1699
314	780	1696
315	782	1692
316	783	1688
317	785	1685
318	788	1682
319	790	1679
320	792	1676
321	794	1673
322	796	1670
323	798	1666
324	800	1663
325	803	1660
326	805	1657
327	807	1653
328	809	1650
329	811	1646
330	813	1643
331	815	1640
332	817	1636
333	819	1633
334	821	1629
335	822	1626
336	825	1623
337	826	1619
338	828	1616
339	830	1612
340	832	1609
341	834	1605
342	836	1601
343	838	1599
344	840	1596
345	844	1596
346	847	1595
347	849	1591
348	851	1588
349	853	1585
350	856	1582
351	858	1579
352	859	1575
353	862	1574
354	864	1571
355	866	1567
356	869	1566
357	871	1562
358	873	1559
359	874	1555
360	876	1552
361	878	1548
362	880	1544
363	881	1541
364	883	1537
365	885	1534
366	887	1531
367	889	1528
368	893	1528
369	895	1524
370	897	1522
371	901	1521
372	903	1517
373	904	1514
374	906	1511
375	908	1508
376	910	1504
377	911	1500
378	913	1497
379	915	1493
380	918	1492
381	920	1489
382	935	1507
383	942	1512
384	947	1513
385	951	1513
386	964	1527
387	967	1525
388	970	1524
389	972	1521
390	975	1518
391	980	1520
392	982	1517
393	985	1515
394	989	1514
395	991	1512
396	994	1509
397	995	1506
398	997	1503
399	1001	1501
400	1003	1498
401	1004	1494
402	1007	1491
403	1009	1488
404	1011	1485
405	1012	1481
406	1015	1479
407	1017	1475
408	1019	1473
409	1022	1470
410	1024	1467
411	1025	1464
412	1027	1460
413	1029	1457
414	1031	1454
415	1033	1451
416	1035	1448
417	1038	1445
418	1040	1442
419	1042	1439
420	1045	1437
421	1047	1435
422	1049	1431
423	1053	1430
424	1055	1427
425	1056	1424
426	1058	1420
427	1061	1418
428	1062	1414
429	1064	1411
430	1067	1409
431	1069	1406
432	1071	1403
433	1074	1400
434	1076	1397
435	1078	1394
436	1080	1391
437	1082	1388
438	1084	1385
439	1087	1384
440	1089	1381
441	1091	1377
442	1094	1375
443	1096	1373
444	1099	1370
445	1101	1368
446	1104	1365
447	1105	1362
448	1108	1359
449	1110	1356
450	1112	1353
451	1113	1350
452	1116	1348
453	1118	1344
454	1120	1341
455	1121	1338
456	1123	1335
457	1125	1332
458	1127	1329
459	1129	1325
460	1131	1323
461	1133	1319
462	1135	1316
463	1136	1313
464	1139	1310
465	1141	1307
466	1143	1304
467	1146	1303
468	1148	1300
469	1154	1302
470	1157	1299
471	1159	1296
472	1163	1296
473	1165	1293
474	1167	1290
475	1169	1287
476	1171	1284
477	1173	1281
478	1174	1277
479	1176	1275
480	1178	1271
481	1180	1268
482	1182	1265
483	1184	1262
484	1186	1259
485	1187	1256
486	1189	1253
487	1191	1250
488	1193	1246
489	1194	1243
490	1196	1240
491	1198	1237
492	1200	1234
493	1202	1231
494	1204	1228
495	1206	1225
496	1207	1222
497	1209	1219
498	1211	1215
499	1213	1213
500	1215	1210
501	1216	1207
502	1218	1204
503	1220	1201
504	1222	1198
505	1224	1195
506	1226	1192
507	1229	1190
508	1231	1187
509	1232	1184
510	1234	1181
511	1236	1178
512	1238	1176
513	1240	1172
514	1242	1170
515	1244	1167
516	1246	1164
517	1248	1161
518	1250	1158
519	1251	1155
520	1253	1152
521	1255	1149
522	1256	1146
523	1258	1143
524	1260	1140
525	1261	1137
526	1263	1134
527	1266	1131
528	1267	1128
529	1269	1125
530	1271	1122
531	1273	1120
532	1274	1117
533	1276	1114
534	1278	1110
535	1280	1108
536	1281	1105
537	1283	1102
538	1285	1099
539	1286	1096
540	1288	1093
541	1290	1090
542	1292	1087
543	1293	1084
544	1295	1081
545	1297	1079
546	1299	1076
547	1301	1073
548	1303	1070
549	1304	1067
550	1306	1064
551	1309	1062
552	1310	1059
553	1312	1056
554	1313	1053
555	1315	1050
556	1317	1048
557	1319	1045
558	1322	1043
559	1324	1040
560	1326	1037
561	1327	1034
562	1329	1031
563	1332	1029
564	1333	1026
565	1335	1024
566	1337	1021
567	1339	1019
568	1342	1016
569	1345	1014
570	1349	1013
571	1351	1011
572	1355	1010
573	1357	1007
574	1358	1004
575	1360	1001
576	1364	1000
577	1366	997
578	1368	994
579	1372	993
580	1374	991
581	1379	990
582	1380	987
583	1382	984
584	1383	981
585	1386	979
586	1388	976
587	1389	973
588	1391	971
589	1394	969
590	1396	966
591	1400	965
592	1402	962
593	1404	959
594	1406	957
595	1410	955
596	1412	953
597	1413	950
598	1417	949
599	1419	946
600	1421	943
601	1423	940
602	1425	938
603	1427	935
604	1428	932
605	1432	931
606	1433	928
607	1435	925
608	1437	922
609	1440	920
610	1441	917
611	1443	915
612	1445	912
613	1448	910
614	1450	907
615	1452	905
616	1455	903
617	1456	900
618	1457	897
619	1459	894
620	1463	893
621	1465	890
622	1467	887
623	1469	885
624	1471	882
625	1473	880
626	1474	877
627	1476	874
628	1479	872
629	1481	869
630	1483	867
631	1485	864
632	1487	862
633	1489	859
634	1491	857
635	1493	854
636	1494	851
637	1496	848
638	1497	846
639	1499	843
640	1501	841
641	1503	838
642	1504	835
643	1507	833
644	1508	830
645	1512	828
646	1514	826
647	1516	823
648	1518	821
649	1519	818
650	1521	815
651	1523	813
652	1525	810
653	1527	807
654	1529	805
655	1530	802
656	1532	800
657	1534	797
658	1536	795
659	1538	792
660	1539	789
661	1541	787
662	1543	784
663	1545	781
664	1546	779
665	1548	776
666	1550	774
667	1552	771
668	1554	768
669	1555	766
670	1557	763
671	1559	761
672	1560	758
673	1562	755
674	1564	753
675	1566	750
676	1568	748
677	1570	745
678	1572	743
679	1573	740
680	1575	738
681	1577	735
682	1579	732
683	1580	730
684	1582	727
685	1584	725
686	1585	722
687	1587	720
688	1589	717
689	1591	714
690	1592	712
691	1595	710
692	1597	707
693	1599	705
694	1600	702
695	1603	700
696	1604	697
697	1606	695
698	1609	692
699	1611	690
700	1612	687
701	1614	685
702	1615	682
703	1619	680
704	1620	678
705	1622	675
706	1624	673
707	1626	670
708	1628	668
709	1630	665
710	1636	665
711	1638	662
712	1642	661
713	1643	658
714	1645	655
715	1647	653
716	1649	651
717	1651	648
718	1652	645
719	1655	643
720	1657	641
721	1658	638
722	1660	636
723	1663	633
724	1664	631
725	1666	628
726	1668	626
727	1672	625
728	1674	622
729	1676	620
730	1679	617
731	1680	615
732	1682	612
733	1684	610
734	1686	608
735	1688	605
736	1689	603
737	1692	600
738	1694	598
739	1696	595
740	1697	593
741	1699	591
742	1701	588
743	1703	586
744	1705	583
745	1709	581
746	1710	579
747	1712	577
748	1716	575
749	1718	572
750	1722	570
751	1725	569
752	1727	566
753	1728	564
754	1731	562
755	1733	559
756	1735	557
757	1738	554
758	1741	552
759	1742	550
760	1747	548
761	1749	546
762	1750	543
763	1753	541
764	1754	539
765	1756	536
766	1757	533
767	1759	531
768	1761	529
769	1763	526
770	1764	524
771	1767	521
772	1769	519
773	1770	516
774	1772	514
775	1773	511
776	1777	510
777	1780	507
778	1781	505
779	1785	503
780	1786	501
781	1788	498
782	1790	496
783	1792	493
784	1794	491
785	1796	489
786	1798	486
787	1800	484
788	1801	481
789	1803	479
790	1805	477
791	1807	474
792	1809	472
793	1810	469
794	1813	467
795	1814	465
796	1816	462
797	1817	460
798	1819	457
799	1821	455
800	1823	452
801	1824	450
802	1826	448
803	1828	445
804	1829	443
805	1831	440
806	1832	438
807	1834	435
808	1836	433
809	1837	431
810	1839	428
811	1840	426
812	1842	423
813	1843	421
814	1845	418
815	1846	416
816	1848	414
817	1850	411
818	1852	409
819	1853	406
820	1855	404
821	1856	402
822	1858	399
823	1859	397
824	1861	394
825	1862	392
826	1864	390
827	1865	387
828	1867	385
829	1868	382
830	1870	380
831	1872	378
832	1873	375
833	1875	373
834	1876	370
835	1878	368
836	1879	366
837	1881	363
838	1882	361
839	1885	359
840	1887	356
841	1889	354
842	1891	352
843	1892	349
844	1894	347
845	1896	345
846	1898	342
847	1900	340
848	1903	338
849	1905	336
850	1907	333
851	1910	331
852	1912	329
853	1914	327
854	1915	324
855	1919	322
856	1921	320
857	1923	318
858	1926	316
859	1928	313
860	1930	311
861	1932	309
862	1934	307
863	1936	304
864	1938	302
865	1941	300
866	1942	297
867	1944	295
868	1946	293
869	1949	291
870	1951	289
871	1952	286
872	1954	284
873	1957	282
874	1958	279
875	1960	277
876	1964	275
877	1965	273
878	1967	270
879	1969	268
880	1972	266
881	1973	264
882	1975	261
883	1976	259
884	1979	257
885	1980	254
886	1982	252
887	1983	250
888	1985	247
889	1986	245
890	1988	243
891	1989	240
892	1991	238
893	1992	236
894	1994	233
895	1995	231
896	1997	229
897	1998	227
898	2001	224
899	2002	222
900	2003	220
901	2005	217
902	2006	215
903	2009	213
904	2010	211
905	2012	208
906	2013	206
907	2016	204
908	2018	202
909	2020	199
910	2021	197
911	2024	195
912	2026	193
913	2027	190
914	2029	188
915	2031	186
916	2032	183
917	2033	181
918	2035	179
919	2036	177
920	2039	174
921	2040	172
922	2041	170
923	2043	168
924	2044	165
925	2046	163
926	2048	161
927	2049	159
928	2051	156
929	2053	154
930	2055	152
931	2056	150
932	2058	147
933	2059	145
934	2061	143
935	2063	141
936	2064	138
937	2066	136
938	2067	134
939	2069	132
940	2070	129
941	2072	127
942	2073	125
943	2075	123
944	2076	120
945	2078	118
946	2079	116
947	2081	114
948	2085	112
949	2086	109
950	2088	107
951	2089	105
952	2091	103
953	2092	100
954	2094	98
955	2095	96
956	2098	94
957	2099	92
958	2100	89
959	2102	87
960	2103	85
961	2105	83
962	2106	80
963	2108	78
964	2109	76
965	2111	74
966	2113	72
967	2115	69
968	2116	67
969	2118	65
970	2120	63
971	2122	61
972	2123	58
973	2125	56
974	2127	54
975	2129	52
976	2131	50
977	2132	47
978	2134	45
979	2135	43
980	2137	41
981	2138	39
982	2140	37
983	2141	34
984	2143	32
985	2144	30
986	2146	28
987	2147	26
988	2150	23
989	2151	21
990	2153	19
991	2154	17
992	2155	15
993	2157	13
994	2159	10
995	2160	8
996	2162	6
997	2164	4
998	2166	2
999	2167	0
